Key,English,Thai
CLIENT_TIP_INC_000000,"To change the camera view, move the mouse or use the arrow keys while holding the right mouse button or the mouse wheel button.",เปลี่ยนมุมมองกล้องให้เลื่อนเมาส์ หรือใช้ปุ่มลูกศรด้วยการคลิกเมาส์ปุ่มขวา (ในเวอร์ชันใหม่) หรือเลื่อนลูกกลิ้งเมาส์ (ในเวอร์ชันเก่า)
CLIENT_TIP_INC_000001,"Press Spacebar to jump while on the ground. While flying, press Spacebar to start or stop moving.",เมื่อเคาะแป้น Spacbar ถ้าผู้เล่นอยู่บนพื้นจะกระโดด แต่ถ้าบินอยู่ จะเป็นเร่งความเร็ว หรือหยุดการบิน
CLIENT_TIP_INC_000002,Flying becomes available at level 20 regardless of your class. Flying items can be purchased from the [Station] NPC in each town.,สามารถบินได้เมื่อเลเวล 20 โดยไม่เกี่ยวข้องกับอาชีพของตัวละคร ส่วนไอเทมที่ใช้บินสามารถหาซื้อได้ที่ NPC [Station] ในแต่ละเมือง
CLIENT_TIP_INC_000003,"If you need HP, sit down using the Emotes menu. Resting takes time but saves money.",ถ้าพลังชีวิต (HP) เริ่มน้อยลงให้พักก่อนโดยเลือกคำสั่งนั่ง (พักผ่อน) ที่ Motion เพื่อฟื้นสภาพ ถึงจะใช้เวลามากหน่อย แต่ช่วยประหยัดเงินได้
CLIENT_TIP_INC_000004,"If you die, use Lodestar to revive in town. To revive at the place where you died, use a Scroll of Resurrection or have someone cast Resurrection on you.","เมื่อตัวละครของคุณตาย เลือกฟื้นที่ ""Loadstar"" ตัวละครจะกลับไปเกิดใหม่ที่ตัวเมืองที่ใกล้ที่สุด และถ้าคุณต้องการที่จะฟื้นที่ตัวละครตาย ให้ใช้ ""Scroll of resurrection"" หรือใช้สกิล Resurrection"
CLIENT_TIP_INC_000005,"Items that restore HP, MP, and FP - such as Food, Refreshers, and Vital Drinks - are most effective up to a certain value. Using them above that value restores less.","ไอเทมฟื้นค่า HP, MP และ FP เช่น Food, Refresher, Vita drink นั้นจะมีค่าความสามารถในการฟื้นฟู ควรตรวจสอบค่าความสามารถในการฟื้นฟูของไอเทมเสียก่อน เพื่อใช้งานให้ได้ประสิทธภาพสูงสุด"
CLIENT_TIP_INC_000006,"When you reach level 15, complete your job change quest as soon as possible. Until you do, you cannot gain additional EXP.",เมื่อคุณเก็บเลเวลจนถึงเวเวล 15 แล้ว ควรรีบทำเควสเปลี่ยนอาชีพให้เสร็จเรียบร้อยโดยเร็ว เนื่องจากพอเลเวล 15 แล้วค่าประสบการณ์จะไม่ขึ้น จึงต้องเปลี่ยนอาชีพเสียก่อนจึงจะสามารถเก็บค่าประสบการณ์ต่อไปได้
CLIENT_TIP_INC_000007,Press ESC to cancel your target.,กดปุ่ม ESC เพื่อยกเลิกเป้าหมาย
CLIENT_TIP_INC_000008,Troupe means Party.,กลุ่มจะมีความหมายว่า ปาร์ตี้ Party
CLIENT_TIP_INC_000009,"To use a skill, open the Skill window (Hotkey: K) and drag the skill icon to the hotkey bar (F1-F10). To use a combo skill, drag the skill icon to the Action Slot (bottom-right of the screen), select a target, and press C.","ในการใช้สกิล ให้เปิดหน้าต่างโดยกดปุ่ม ""K"" และลากไอคอนสกิลมาไว้ที่ช่องคีย์ลัดด้านล่างของหน้าจอ (F1-F10) ถ้าต้องการใช้สกิลต่อเนื่องให้ลอกไอคอนมาไว้ที่ Action Slot (ด้านล่างขวาของจอ) โดยการใช้งานให้เลือกเป้าหมายแล้วกดปุ่ม ""C"""
CLIENT_TIP_INC_000010,Clean Hit must be placed first in the Action Slot to use Flurry.,คุณต้องใส่สกิล Clean Hit ก่อนจึงจะใช้สกิล Flurry ใน ACTION SLOT
CLIENT_TIP_INC_000011,"To follow a character, click the target and select Follow from the menu. You can also press Z to follow the selected target.",หลังจากเลือกตัวละครแล้ว ให้คลิกปุ่มซ้ายของเมาส์ในขณะที่กด ALT ค้างไว้แล้วเลือก 'ติดตาม' ในเมนูเพื่อติดตามตัวละคร กด Space Bar ในขณะที่กด 'Z' ค้างไว้เมื่อคุณกำลังบิน
CLIENT_TIP_INC_000012,"You must be close to a character to open the interaction menu (Guild, Messenger, Follow, etc.). By default, left-click opens the menu. You can enable right-click instead in Options > Game > Right-Click Player Menu.","การคลิกที่เป้าหมายในขณะที่กด 'ALT' ค้างไว้ จะเปิดใช้งานเมนูสำหรับกิลด์, เมสเซนเจอร์, การติดตาม ฯลฯ"
CLIENT_TIP_INC_000013,Press X to toggle between walking and running.,กด 'X' เพื่อสลับการเดินและวิ่ง
CLIENT_TIP_INC_000014,Double-click a monster to attack it. This can be changed to single-click in Options > Game > Single Click to Attack. Basic attacks continue automatically while Auto Attack is enabled (Options > Game > Auto Attack).,ดับเบิ้ลคลิกที่มอนสเตอร์หรือตั้งค่าการโจมตีอัตโนมัติในเกม มันจะโจมตีโดยอัตโนมัติ
CLIENT_TIP_INC_000015,Buying or selling Penya online violates our policies! Doing so puts your account at risk and may result in penalties.,การซื้อหรือการขายเงินในเกม (Penya) ผิดกฏระเบียบของเกม Flyff! การซื้อขายเงินในเกม (Penya) อาจทำให้ไอดีเสี่ยงต่อการถูกลงโทษตามกฏ
CLIENT_TIP_INC_000016,Sharing or selling accounts violates our policies. Violations may result in permanent account termination.,การโอนย้ายไอดีหรือการขายไอดี ผิดกฏระเบียบของเกม Flyff! การฝ่าฝืนใดๆ อาจส่งผลให้ไอดีที่เกี่ยวข้องโดนแบนอย่างถาวรตามกฏของเกม
